"Date","Category","Usage","ResCount","SubCount"
"2022-08-01T07:00:01Z","PerformanceCounters","70.39","73842","9739"
"2022-08-01T07:00:01Z","Metrics","68.07","70281","9559"
"2022-08-01T07:00:01Z","EventHub","43.77","48243","359"
"2022-08-01T07:00:01Z","BlobStorage","0.03","47","4"
"2022-08-01T07:00:01Z","SysLogs","0.03","36","6"
"2022-08-01T07:00:01Z","FileLogs","0","0","0"
"2022-08-01T07:00:01Z","TableStorage","99.27","94515","10765"
"2022-07-01T07:00:01Z","PerformanceCounters","53.57","65782","8897"
"2022-07-01T07:00:01Z","TableStorage","99.13","87375","9918"
"2022-07-01T07:00:01Z","FileLogs","0","0","0"
"2022-07-01T07:00:01Z","SysLogs","0.01","18","5"
"2022-07-01T07:00:01Z","Metrics","51.9","62824","8782"
"2022-07-01T07:00:01Z","EventHub","52.72","34092","325"
"2022-07-01T07:00:01Z","BlobStorage","0.03","55","5"
"2022-06-01T07:00:01Z","FileLogs","0","0","0"
"2022-06-01T07:00:01Z","TableStorage","99.3","74698","11108"
"2022-06-01T07:00:01Z","SysLogs","0.01","26","4"
"2022-06-01T07:00:01Z","BlobStorage","0.01","18","5"
"2022-06-01T07:00:01Z","Metrics","40.62","47854","9965"
"2022-06-01T07:00:01Z","PerformanceCounters","42.37","51375","10104"
"2022-06-01T07:00:01Z","EventHub","50.81","26795","350"
"2022-05-01T07:00:01Z","EventHub","54.52","31408","342"
"2022-05-01T07:00:01Z","PerformanceCounters","42.51","59907","10429"
"2022-05-01T07:00:01Z","Metrics","41.17","56304","10193"
"2022-05-01T07:00:01Z","SysLogs","0.04","36","4"
"2022-05-01T07:00:01Z","BlobStorage","0.01","33","5"
"2022-05-01T07:00:01Z","FileLogs","0","0","0"
"2022-05-01T07:00:01Z","TableStorage","99.09","85289","11307"
"2022-04-01T07:00:01Z","PerformanceCounters","51.49","46684","9741"
"2022-04-01T07:00:01Z","FileLogs","0","0","0"
"2022-04-01T07:00:01Z","Metrics","50.4","44745","9622"
"2022-04-01T07:00:01Z","BlobStorage","0.01","41","5"
"2022-04-01T07:00:01Z","SysLogs","0.02","17","5"
"2022-04-01T07:00:01Z","TableStorage","99.16","69284","10677"
"2022-04-01T07:00:01Z","EventHub","58.38","25256","359"
"2022-03-01T07:00:01Z","Metrics","50.23","44004","11004"
"2022-03-01T07:00:01Z","FileLogs","0","0","0"
"2022-03-01T07:00:01Z","TableStorage","99.31","70964","12154"
"2022-03-01T07:00:01Z","EventHub","51.46","22798","368"
"2022-03-01T07:00:01Z","PerformanceCounters","51.33","45875","11130"
"2022-03-01T07:00:01Z","SysLogs","0.06","35","5"
"2022-03-01T07:00:01Z","BlobStorage","0.03","78","8"
"2022-02-01T07:00:01Z","BlobStorage","0.02","46","8"
"2022-02-01T07:00:01Z","SysLogs","0.01","24","10"
"2022-02-01T07:00:01Z","FileLogs","0","0","0"
"2022-02-01T07:00:01Z","Metrics","55.32","38496","9681"
"2022-02-01T07:00:01Z","EventHub","55.97","21014","389"
"2022-02-01T07:00:01Z","PerformanceCounters","56.21","39716","9803"
"2022-02-01T07:00:01Z","TableStorage","99.34","69804","10878"
"2022-01-01T07:00:01Z","TableStorage","99.66","94010","10524"
"2022-01-01T07:00:01Z","PerformanceCounters","54.75","38373","9361"
"2022-01-01T07:00:01Z","Metrics","53.76","36869","9248"
"2022-01-01T07:00:01Z","EventHub","45.56","16380","381"
"2022-01-01T07:00:01Z","SysLogs","0.01","16","5"
"2022-01-01T07:00:01Z","BlobStorage","0.01","19","9"
"2022-01-01T07:00:01Z","FileLogs","0","0","0"
"2021-12-01T07:00:01Z","TableStorage","99.61","98761","10109"
"2021-12-01T07:00:01Z","PerformanceCounters","48.44","31650","9052"
"2021-12-01T07:00:01Z","Metrics","47.89","31018","8923"
"2021-12-01T07:00:01Z","EventHub","32.95","12964","393"
"2021-12-01T07:00:01Z","BlobStorage","0.03","27","7"
"2021-12-01T07:00:01Z","SysLogs","0.01","6","3"
"2021-12-01T07:00:01Z","FileLogs","0","1","1"
"2021-11-01T07:00:01Z","FileLogs","0","0","0"
"2021-11-01T07:00:01Z","SysLogs","0.01","14","5"
"2021-11-01T07:00:01Z","BlobStorage","0.02","14","8"
"2021-11-01T07:00:01Z","EventHub","28.72","17377","978"
"2021-11-01T07:00:01Z","Metrics","48.21","39208","10254"
"2021-11-01T07:00:01Z","PerformanceCounters","49.31","40579","10439"
"2021-11-01T07:00:01Z","TableStorage","99.54","98782","11773"
"2021-10-01T07:00:01Z","SysLogs","0","10","6"
"2021-10-01T07:00:01Z","FileLogs","0","0","0"
"2021-10-01T07:00:01Z","BlobStorage","0.03","74","10"
"2021-10-01T07:00:01Z","Metrics","43.54","39073","9921"
"2021-10-01T07:00:01Z","PerformanceCounters","44.4","39958","10089"
"2021-10-01T07:00:01Z","TableStorage","99.59","119616","11136"
"2021-10-01T07:00:01Z","EventHub","27.31","12943","348"
"2021-09-01T07:00:01Z","TableStorage","99.42","85676","8794"
"2021-09-01T07:00:01Z","PerformanceCounters","39.36","28766","8017"
"2021-09-01T07:00:01Z","Metrics","38.58","27800","7881"
"2021-09-01T07:00:01Z","EventHub","23.5","9301","292"
"2021-09-01T07:00:01Z","BlobStorage","0.01","15","2"
"2021-09-01T07:00:01Z","FileLogs","0","0","0"
"2021-09-01T07:00:01Z","SysLogs","0","3","3"
