"Date","Category","Usage","ResCount","SubCount"
"2022-09-04T07:00:01Z","SysLogs","0.07","15","4"
"2022-09-04T07:00:01Z","BlobStorage","0.03","9","3"
"2022-09-04T07:00:01Z","FileLogs","0","0","0"
"2022-09-04T07:00:01Z","EventHub","36.14","5635","189"
"2022-09-04T07:00:01Z","TableStorage","98.86","18224","3196"
"2022-09-04T07:00:01Z","PerformanceCounters","64.39","12336","2661"
"2022-09-04T07:00:01Z","Metrics","62.36","11706","2594"
"2022-08-28T07:00:01Z","TableStorage","99.15","23747","3137"
"2022-08-28T07:00:01Z","PerformanceCounters","68.77","17507","2597"
"2022-08-28T07:00:01Z","Metrics","67.23","16991","2532"
"2022-08-28T07:00:01Z","EventHub","45.15","8940","192"
"2022-08-28T07:00:01Z","BlobStorage","0.02","4","4"
"2022-08-28T07:00:01Z","FileLogs","0","0","0"
"2022-08-28T07:00:01Z","SysLogs","0","0","0"
"2022-08-21T07:00:01Z","BlobStorage","0.02","7","4"
"2022-08-21T07:00:01Z","SysLogs","0.02","9","3"
"2022-08-21T07:00:01Z","FileLogs","0","0","0"
"2022-08-21T07:00:01Z","Metrics","70.17","19676","2841"
"2022-08-21T07:00:01Z","TableStorage","99.22","27611","3456"
"2022-08-21T07:00:01Z","PerformanceCounters","72.61","20741","2911"
"2022-08-21T07:00:01Z","EventHub","48.09","13503","225"
"2022-08-14T07:00:01Z","BlobStorage","0.04","15","4"
"2022-08-14T07:00:01Z","FileLogs","0","0","0"
"2022-08-14T07:00:01Z","TableStorage","99.27","26413","3303"
"2022-08-14T07:00:01Z","PerformanceCounters","68.07","19704","2716"
"2022-08-14T07:00:01Z","Metrics","65.43","18788","2575"
"2022-08-14T07:00:01Z","EventHub","38.86","12502","198"
"2022-08-14T07:00:01Z","SysLogs","0.06","27","4"
"2022-08-07T07:00:01Z","Metrics","71.93","18225","2669"
"2022-08-07T07:00:01Z","TableStorage","99.42","24545","3294"
"2022-08-07T07:00:01Z","PerformanceCounters","73.81","19072","2749"
"2022-08-07T07:00:01Z","EventHub","45.17","12423","200"
"2022-08-07T07:00:01Z","BlobStorage","0.04","20","3"
"2022-08-07T07:00:01Z","FileLogs","0","0","0"
"2022-08-07T07:00:01Z","SysLogs","0","1","1"
"2022-07-31T07:00:01Z","PerformanceCounters","66.79","16781","2527"
"2022-07-31T07:00:01Z","FileLogs","0","0","0"
"2022-07-31T07:00:01Z","BlobStorage","0.03","9","3"
"2022-07-31T07:00:01Z","SysLogs","0.05","24","2"
"2022-07-31T07:00:01Z","EventHub","38.11","10070","188"
"2022-07-31T07:00:01Z","Metrics","64","15851","2447"
"2022-07-31T07:00:01Z","TableStorage","99.11","23609","3146"
"2022-07-24T07:00:01Z","FileLogs","0","0","0"
"2022-07-24T07:00:01Z","BlobStorage","0.02","5","2"
"2022-07-24T07:00:01Z","SysLogs","0.02","3","2"
"2022-07-24T07:00:01Z","EventHub","39.49","10412","189"
"2022-07-24T07:00:01Z","Metrics","67.14","21943","2620"
"2022-07-24T07:00:01Z","PerformanceCounters","69.01","22605","2708"
"2022-07-24T07:00:01Z","TableStorage","99.01","28317","3316"
"2022-07-17T07:00:01Z","BlobStorage","0.04","25","4"
"2022-07-17T07:00:01Z","FileLogs","0","0","0"
"2022-07-17T07:00:01Z","SysLogs","0.01","13","2"
"2022-07-17T07:00:01Z","EventHub","62.24","10143","226"
"2022-07-17T07:00:01Z","Metrics","62.79","14398","2560"
"2022-07-17T07:00:01Z","PerformanceCounters","64.07","15207","2641"
"2022-07-17T07:00:01Z","TableStorage","99.37","24559","3314"
"2022-07-10T07:00:01Z","EventHub","49.37","9271","224"
"2022-07-10T07:00:01Z","TableStorage","98.77","25780","3273"
"2022-07-10T07:00:01Z","SysLogs","0","0","0"
"2022-07-10T07:00:01Z","FileLogs","0","0","0"
"2022-07-10T07:00:01Z","BlobStorage","0.04","22","4"
"2022-07-10T07:00:01Z","PerformanceCounters","42.79","16831","2644"
"2022-07-10T07:00:01Z","Metrics","40.46","15695","2567"
"2022-07-03T07:00:01Z","SysLogs","0","2","2"
"2022-07-03T07:00:01Z","FileLogs","0","0","0"
"2022-07-03T07:00:01Z","BlobStorage","0.03","11","5"
"2022-07-03T07:00:01Z","Metrics","39.41","12874","2517"
"2022-07-03T07:00:01Z","EventHub","54.58","9786","214"
"2022-07-03T07:00:01Z","TableStorage","99.22","21593","3146"
"2022-07-03T07:00:01Z","PerformanceCounters","40.8","13529","2588"
"2022-06-26T07:00:01Z","TableStorage","99.06","22956","3493"
"2022-06-26T07:00:01Z","PerformanceCounters","42.35","14503","2898"
"2022-06-26T07:00:01Z","EventHub","51.54","9018","217"
"2022-06-26T07:00:01Z","Metrics","40.88","13778","2823"
"2022-06-26T07:00:01Z","BlobStorage","0.01","3","3"
"2022-06-26T07:00:01Z","SysLogs","0.01","1","1"
"2022-06-26T07:00:01Z","FileLogs","0","0","0"
"2022-06-19T07:00:01Z","BlobStorage","0.01","4","2"
"2022-06-19T07:00:01Z","SysLogs","0","1","1"
"2022-06-19T07:00:01Z","FileLogs","0","0","0"
"2022-06-19T07:00:01Z","Metrics","36.28","11771","2704"
"2022-06-19T07:00:01Z","PerformanceCounters","38.72","13126","2804"
"2022-06-19T07:00:01Z","EventHub","49.62","9025","229"
"2022-06-19T07:00:01Z","TableStorage","99.11","23029","3446"
"2022-06-12T07:00:01Z","TableStorage","99.29","22483","3506"
"2022-06-12T07:00:01Z","SysLogs","0","0","0"
"2022-06-12T07:00:01Z","PerformanceCounters","38.63","12822","2899"
"2022-06-12T07:00:01Z","Metrics","37.01","12094","2818"
"2022-06-12T07:00:01Z","EventHub","49.1","9250","227"
"2022-06-12T07:00:01Z","BlobStorage","0.02","6","2"
"2022-06-12T07:00:01Z","FileLogs","0","0","0"
"2022-06-05T07:00:01Z","PerformanceCounters","49.01","12547","2936"
"2022-06-05T07:00:01Z","TableStorage","99.59","21431","3563"
"2022-06-05T07:00:01Z","Metrics","47.68","11945","2850"
"2022-06-05T07:00:01Z","SysLogs","0.02","15","2"
"2022-06-05T07:00:01Z","BlobStorage","0.01","8","4"
"2022-06-05T07:00:01Z","FileLogs","0","0","0"
"2022-06-05T07:00:01Z","EventHub","56.58","8457","237"
"2022-05-29T07:00:01Z","FileLogs","0","0","0"
"2022-05-29T07:00:01Z","TableStorage","99.41","23337","3292"
"2022-05-29T07:00:01Z","EventHub","51.27","9372","233"
"2022-05-29T07:00:01Z","PerformanceCounters","39.9","13676","2674"
"2022-05-29T07:00:01Z","Metrics","38.18","12641","2603"
"2022-05-29T07:00:01Z","SysLogs","0.03","25","3"
"2022-05-29T07:00:01Z","BlobStorage","0.01","4","3"
"2022-05-22T07:00:01Z","Metrics","35.63","12252","2681"
"2022-05-22T07:00:01Z","EventHub","53.92","9986","227"
"2022-05-22T07:00:01Z","TableStorage","98.89","23142","3372"
"2022-05-22T07:00:01Z","FileLogs","0","0","0"
"2022-05-22T07:00:01Z","SysLogs","0.01","3","2"
"2022-05-22T07:00:01Z","PerformanceCounters","37.01","12835","2761"
"2022-05-22T07:00:01Z","BlobStorage","0.01","4","3"
"2022-05-15T07:00:01Z","FileLogs","0","0","0"
"2022-05-15T07:00:01Z","BlobStorage","0.01","8","4"
"2022-05-15T07:00:01Z","SysLogs","0.04","10","2"
"2022-05-15T07:00:01Z","Metrics","39.6","13817","3050"
"2022-05-15T07:00:01Z","TableStorage","98.94","24353","3701"
"2022-05-15T07:00:01Z","PerformanceCounters","41.01","14586","3113"
"2022-05-15T07:00:01Z","EventHub","52.52","9629","242"
"2022-05-08T07:00:01Z","BlobStorage","0.01","10","3"
"2022-05-08T07:00:01Z","EventHub","56.96","10059","244"
"2022-05-08T07:00:01Z","TableStorage","99.08","24730","3892"
"2022-05-08T07:00:01Z","Metrics","42.52","12936","3087"
"2022-05-08T07:00:01Z","SysLogs","0.11","22","1"
"2022-05-08T07:00:01Z","FileLogs","0","0","0"
"2022-05-08T07:00:01Z","PerformanceCounters","44.36","14283","3276"
"2022-05-01T07:00:01Z","Metrics","47.96","18640","2637"
"2022-05-01T07:00:01Z","SysLogs","0","0","0"
"2022-05-01T07:00:01Z","FileLogs","0","0","0"
"2022-05-01T07:00:01Z","TableStorage","99.45","27584","3318"
"2022-05-01T07:00:01Z","EventHub","53.47","8692","229"
"2022-05-01T07:00:01Z","BlobStorage","0.01","10","3"
"2022-05-01T07:00:01Z","PerformanceCounters","48.67","19015","2704"
"2022-04-24T07:00:01Z","FileLogs","0","0","0"
"2022-04-24T07:00:01Z","TableStorage","99.19","21946","3671"
"2022-04-24T07:00:01Z","EventHub","57.84","8410","252"
"2022-04-24T07:00:01Z","Metrics","41.63","11187","2986"
"2022-04-24T07:00:01Z","SysLogs","0.02","10","2"
"2022-04-24T07:00:01Z","BlobStorage","0.01","5","1"
"2022-04-24T07:00:01Z","PerformanceCounters","42.34","11552","3062"
