"Date","Category","Usage","ResCount","SubCount"
"2022-08-01T07:00:01Z","DiagnosticInfrastructureLogs","97.09","92787","10771"
"2022-08-01T07:00:01Z","TableStorage","99.84","94861","11006"
"2022-08-01T07:00:01Z","Performance","97.25","91129","10785"
"2022-08-01T07:00:01Z","WindowsEventLogs","99.2","93796","10903"
"2022-08-01T07:00:01Z","CrashDumps","0.9","2466","66"
"2022-08-01T07:00:01Z","DockerSources","0","12","2"
"2022-08-01T07:00:01Z","EtwProviders","0.93","2297","237"
"2022-08-01T07:00:01Z","BlobStorage","4.19","10002","185"
"2022-08-01T07:00:01Z","Logs","5.49","5556","516"
"2022-08-01T07:00:01Z","Directories","32.47","28200","2080"
"2022-08-01T07:00:01Z","Metrics","94.73","87363","10596"
"2022-07-01T07:00:01Z","WindowsEventLogs","98.92","86906","9986"
"2022-07-01T07:00:01Z","TableStorage","99.74","87822","10091"
"2022-07-01T07:00:01Z","DiagnosticInfrastructureLogs","93.79","73928","9814"
"2022-07-01T07:00:01Z","Performance","76.28","81346","9848"
"2022-07-01T07:00:01Z","Metrics","74.49","78297","9737"
"2022-07-01T07:00:01Z","Directories","55.65","39118","1948"
"2022-07-01T07:00:01Z","Logs","4.51","3956","407"
"2022-07-01T07:00:01Z","BlobStorage","4.45","10341","171"
"2022-07-01T07:00:01Z","CrashDumps","0.69","2036","65"
"2022-07-01T07:00:01Z","EtwProviders","0.61","1796","77"
"2022-07-01T07:00:01Z","DockerSources","0","0","0"
"2022-06-01T07:00:01Z","Performance","64.46","66532","11077"
"2022-06-01T07:00:01Z","DiagnosticInfrastructureLogs","97.47","71916","11146"
"2022-06-01T07:00:01Z","WindowsEventLogs","99.05","73712","11259"
"2022-06-01T07:00:01Z","TableStorage","99.87","75128","11395"
"2022-06-01T07:00:01Z","Logs","6.1","5775","510"
"2022-06-01T07:00:01Z","DockerSources","0.02","7","2"
"2022-06-01T07:00:01Z","BlobStorage","3.06","9174","159"
"2022-06-01T07:00:01Z","CrashDumps","0.75","2320","67"
"2022-06-01T07:00:01Z","EtwProviders","0.7","2143","83"
"2022-06-01T07:00:01Z","Directories","59.46","31140","2084"
"2022-06-01T07:00:01Z","Metrics","62.54","62280","10944"
"2022-05-01T07:00:01Z","BlobStorage","4.72","15412","274"
"2022-05-01T07:00:01Z","EtwProviders","0.43","1455","70"
"2022-05-01T07:00:01Z","DockerSources","0","4","1"
"2022-05-01T07:00:01Z","CrashDumps","0.53","1875","74"
"2022-05-01T07:00:01Z","TableStorage","99.57","85433","11604"
"2022-05-01T07:00:01Z","Logs","9.35","5192","475"
"2022-05-01T07:00:01Z","Metrics","60.81","72779","11124"
"2022-05-01T07:00:01Z","Performance","62.27","76452","11343"
"2022-05-01T07:00:01Z","Directories","64.62","41027","2267"
"2022-05-01T07:00:01Z","WindowsEventLogs","99.1","84713","11587"
"2022-05-01T07:00:01Z","DiagnosticInfrastructureLogs","95.94","77209","11287"
"2022-04-01T07:00:01Z","Performance","71.34","62264","10752"
"2022-04-01T07:00:01Z","EtwProviders","0.35","975","65"
"2022-04-01T07:00:01Z","DiagnosticInfrastructureLogs","98.26","68666","10787"
"2022-04-01T07:00:01Z","WindowsEventLogs","99.21","68669","10878"
"2022-04-01T07:00:01Z","CrashDumps","0.44","1353","77"
"2022-04-01T07:00:01Z","BlobStorage","2.77","8646","123"
"2022-04-01T07:00:01Z","TableStorage","99.95","70546","11018"
"2022-04-01T07:00:01Z","Logs","14.05","3757","446"
"2022-04-01T07:00:01Z","Metrics","70.11","59874","10652"
"2022-04-01T07:00:01Z","Directories","64.42","26432","1978"
"2022-04-01T07:00:01Z","DockerSources","0","2","1"
"2022-03-01T07:00:01Z","TableStorage","99.83","71454","12596"
"2022-03-01T07:00:01Z","WindowsEventLogs","99.07","70140","12460"
"2022-03-01T07:00:01Z","DiagnosticInfrastructureLogs","97.76","68987","12356"
"2022-03-01T07:00:01Z","Performance","74.69","63898","12299"
"2022-03-01T07:00:01Z","Metrics","73.45","61477","12197"
"2022-03-01T07:00:01Z","Directories","60.84","28395","2372"
"2022-03-01T07:00:01Z","Logs","16.57","4066","517"
"2022-03-01T07:00:01Z","BlobStorage","3.21","9176","150"
"2022-03-01T07:00:01Z","EtwProviders","0.65","1300","104"
"2022-03-01T07:00:01Z","CrashDumps","0.51","1488","79"
"2022-03-01T07:00:01Z","DockerSources","0","7","3"
"2022-02-01T07:00:01Z","Metrics","81.05","60659","10841"
"2022-02-01T07:00:01Z","Performance","81.97","62013","10920"
"2022-02-01T07:00:01Z","WindowsEventLogs","96.9","67906","11038"
"2022-02-01T07:00:01Z","CrashDumps","0.45","1360","67"
"2022-02-01T07:00:01Z","EtwProviders","0.67","1146","113"
"2022-02-01T07:00:01Z","TableStorage","99.82","70129","11176"
"2022-02-01T07:00:01Z","DockerSources","0","1","1"
"2022-02-01T07:00:01Z","BlobStorage","2.63","6846","158"
"2022-02-01T07:00:01Z","Logs","15.14","3960","443"
"2022-02-01T07:00:01Z","Directories","60.19","26074","2140"
"2022-02-01T07:00:01Z","DiagnosticInfrastructureLogs","98.13","68470","10944"
"2022-01-01T07:00:01Z","Logs","19.44","2971","468"
"2022-01-01T07:00:01Z","TableStorage","99.89","93967","10738"
"2022-01-01T07:00:01Z","DiagnosticInfrastructureLogs","98.36","92502","10532"
"2022-01-01T07:00:01Z","WindowsEventLogs","96.44","92336","10619"
"2022-01-01T07:00:01Z","Performance","90.59","88640","10460"
"2022-01-01T07:00:01Z","Metrics","89.53","86915","10384"
"2022-01-01T07:00:01Z","Directories","51.31","24891","2064"
"2022-01-01T07:00:01Z","BlobStorage","2","6155","119"
"2022-01-01T07:00:01Z","EtwProviders","0.48","721","97"
"2022-01-01T07:00:01Z","CrashDumps","0.29","816","63"
"2022-01-01T07:00:01Z","DockerSources","0","0","0"
"2021-12-01T07:00:01Z","TableStorage","99.87","99169","10361"
"2021-12-01T07:00:01Z","DockerSources","0.02","7","1"
"2021-12-01T07:00:01Z","EtwProviders","0.41","589","115"
"2021-12-01T07:00:01Z","CrashDumps","0.45","1254","62"
"2021-12-01T07:00:01Z","BlobStorage","1.44","4491","120"
"2021-12-01T07:00:01Z","Logs","13.95","4700","454"
"2021-12-01T07:00:01Z","Directories","50.46","28955","2027"
"2021-12-01T07:00:01Z","Metrics","85.33","84331","9995"
"2021-12-01T07:00:01Z","Performance","85.9","84965","10087"
"2021-12-01T07:00:01Z","WindowsEventLogs","96.25","96899","10236"
"2021-12-01T07:00:01Z","DiagnosticInfrastructureLogs","98.49","97834","10156"
"2021-11-01T07:00:01Z","TableStorage","99.8","98363","12017"
"2021-11-01T07:00:01Z","DiagnosticInfrastructureLogs","97.72","96016","11779"
"2021-11-01T07:00:01Z","WindowsEventLogs","95.4","96270","11852"
"2021-11-01T07:00:01Z","Performance","91.69","90609","11684"
"2021-11-01T07:00:01Z","Metrics","90.53","88766","11457"
