"Date","Category","Usage","ResCount","SubCount"
"2022-09-04T07:00:01Z","Directories","36.04","5555","664"
"2022-09-04T07:00:01Z","Logs","6.94","1049","159"
"2022-09-04T07:00:01Z","AppInsights","19.61","1356","81"
"2022-09-04T07:00:01Z","Metrics","94.38","16716","3080"
"2022-09-04T07:00:01Z","EventHub","36.21","5660","189"
"2022-09-04T07:00:01Z","DiagnosticInfrastructureLogs","95.62","17375","3150"
"2022-09-04T07:00:01Z","Performance","96.73","17468","3156"
"2022-09-04T07:00:01Z","CrashDumps","0.8","350","38"
"2022-09-04T07:00:01Z","WindowsEventLogs","98.67","18020","3211"
"2022-09-04T07:00:01Z","TableStorage","99.67","18328","3268"
"2022-09-04T07:00:01Z","EtwProviders","0.87","362","22"
"2022-09-04T07:00:01Z","BlobStorage","4.54","1853","60"
"2022-09-04T07:00:01Z","DockerSources","0","0","0"
"2022-08-28T07:00:01Z","Logs","5.57","1066","171"
"2022-08-28T07:00:01Z","WindowsEventLogs","99.02","23555","3150"
"2022-08-28T07:00:01Z","Performance","97.08","22781","3080"
"2022-08-28T07:00:01Z","Metrics","95.1","22131","3007"
"2022-08-28T07:00:01Z","DiagnosticInfrastructureLogs","92.09","20382","3055"
"2022-08-28T07:00:01Z","Directories","46.22","10299","676"
"2022-08-28T07:00:01Z","EventHub","45.31","8952","193"
"2022-08-28T07:00:01Z","AppInsights","27.09","2722","80"
"2022-08-28T07:00:01Z","TableStorage","99.71","23859","3195"
"2022-08-28T07:00:01Z","DockerSources","0","0","0"
"2022-08-28T07:00:01Z","EtwProviders","0.79","390","29"
"2022-08-28T07:00:01Z","CrashDumps","0.84","463","43"
"2022-08-28T07:00:01Z","BlobStorage","4.58","2278","65"
"2022-08-21T06:00:01Z","Metrics","94.33","25157","3348"
"2022-08-21T06:00:01Z","EventHub","48.05","13486","223"
"2022-08-21T06:00:01Z","Directories","34.12","7760","743"
"2022-08-21T06:00:01Z","AppInsights","20.96","2715","89"
"2022-08-21T06:00:01Z","TableStorage","99.87","27680","3566"
"2022-08-21T06:00:01Z","BlobStorage","4.11","2297","75"
"2022-08-21T06:00:01Z","EtwProviders","1.02","559","143"
"2022-08-21T06:00:01Z","CrashDumps","0.74","467","44"
"2022-08-21T06:00:01Z","Logs","5.96","1727","216"
"2022-08-21T06:00:01Z","DockerSources","0","0","0"
"2022-08-21T06:00:01Z","WindowsEventLogs","99.26","27441","3513"
"2022-08-21T06:00:01Z","DiagnosticInfrastructureLogs","97.22","26908","3429"
"2022-08-21T06:00:01Z","Performance","96.94","26365","3414"
"2022-08-14T06:00:01Z","BlobStorage","4.11","2155","77"
